trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9801}",30,0,-247.74088731627498,"{0: 15, 1: 2, 2: 9, 3: 0, 4: 4}",0
2,False,"{'a': 0.7, 'e': 0.9702989999999999}",20,0,-116.67835128231195,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.96059601}",25,0,-176.1242688641741,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
4,False,"{'a': 0.7, 'e': 0.9509900498999999}",35,0,-235.99340243773761,"{0: 18, 1: 5, 2: 5, 3: 5, 4: 2}",0
5,False,"{'a': 0.7, 'e': 0.9414801494009999}",25,0,-54.495742415199345,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.7, 'e': 0.9320653479069899}",25,0,-143.27971667505608,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.7, 'e': 0.92274469442792}",20,0,-178.7155839238923,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
8,False,"{'a': 0.7, 'e': 0.9135172474836407}",20,0,-68.1220875282035,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0.9043820750088043}",20,0,-91.50184666353525,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.7, 'e': 0.8953382542587163}",20,0,-122.72044288756291,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.7, 'e': 0.8863848717161291}",20,0,-106.11483248198535,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
12,False,"{'a': 0.7, 'e': 0.8775210229989678}",20,0,-129.42995385324747,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.7, 'e': 0.8687458127689781}",25,0,-96.05862316400612,"{0: 15, 1: 0, 2: 8, 3: 2, 4: 0}",0
14,False,"{'a': 0.7, 'e': 0.8600583546412883}",25,0,-68.73485043698606,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.7, 'e': 0.8514577710948754}",20,0,-68.34019979338655,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.7, 'e': 0.8429431933839266}",20,0,-96.81583893618996,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.7, 'e': 0.8345137614500874}",30,0,-86.05772925490116,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
18,False,"{'a': 0.7, 'e': 0.8261686238355865}",30,0,-92.70488459100427,"{0: 22, 1: 0, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.7, 'e': 0.8179069375972307}",20,11,9.692821221489305,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.7, 'e': 0.8097278682212583}",25,0,-118.83555981358879,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
21,False,"{'a': 0.7, 'e': 0.8016305895390458}",20,8,-52.65291980357576,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
22,False,"{'a': 0.7, 'e': 0.7936142836436553}",30,0,-51.78159105254073,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",0
23,False,"{'a': 0.7, 'e': 0.7856781408072188}",30,0,-85.9245086654709,"{0: 18, 1: 7, 2: 3, 3: 2, 4: 0}",0
24,False,"{'a': 0.7, 'e': 0.7778213593991465}",30,0,-185.2554268656021,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
25,False,"{'a': 0.7, 'e': 0.7700431458051551}",25,0,-82.3748260004959,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
26,False,"{'a': 0.7, 'e': 0.7623427143471035}",20,0,-69.2959681375535,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
27,False,"{'a': 0.7, 'e': 0.7547192872036325}",20,2,-41.247528112467,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 0}",1
28,False,"{'a': 0.7, 'e': 0.7471720943315961}",25,0,-62.05399582394153,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
29,False,"{'a': 0.7, 'e': 0.7397003733882802}",30,0,0.08065445636550606,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
30,False,"{'a': 0.7, 'e': 0.7323033696543974}",25,0,-97.2047566167783,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
31,False,"{'a': 0.7, 'e': 0.7249803359578534}",20,0,-98.63154290624657,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
32,False,"{'a': 0.7, 'e': 0.7177305325982748}",25,0,-70.76855772733815,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
33,False,"{'a': 0.7, 'e': 0.7105532272722921}",20,0,-52.98010254155167,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
34,False,"{'a': 0.7, 'e': 0.7034476949995692}",20,0,-101.7140638373714,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
35,False,"{'a': 0.7, 'e': 0.6964132180495735}",20,0,-141.62670247890733,"{0: 8, 1: 5, 2: 4, 3: 2, 4: 1}",0
36,False,"{'a': 0.7, 'e': 0.6894490858690777}",20,0,-52.13552640479678,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
37,False,"{'a': 0.7, 'e': 0.682554595010387}",30,0,-140.64775641861144,"{0: 17, 1: 1, 2: 10, 3: 1, 4: 1}",0
38,False,"{'a': 0.7, 'e': 0.6757290490602831}",20,0,-109.56602025159279,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
39,False,"{'a': 0.7, 'e': 0.6689717585696803}",20,0,-79.62000385019464,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
40,False,"{'a': 0.7, 'e': 0.6622820409839835}",20,15,3.0330052601045816,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.7, 'e': 0.6556592205741436}",20,0,-56.610679640890325,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
42,False,"{'a': 0.7, 'e': 0.6491026283684022}",20,1,-15.961006428948355,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
43,False,"{'a': 0.7, 'e': 0.6426116020847181}",20,0,-176.31547096237685,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
44,False,"{'a': 0.7, 'e': 0.6361854860638709}",20,0,-95.03331846588485,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
45,False,"{'a': 0.7, 'e': 0.6298236312032323}",30,0,-99.11146793068215,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
46,False,"{'a': 0.7, 'e': 0.6235253948912}",25,0,-58.65872163758077,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.7, 'e': 0.617290140942288}",25,0,-52.2123936079614,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
48,False,"{'a': 0.7, 'e': 0.6111172395328651}",20,0,27.13802966229041,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.7, 'e': 0.6050060671375365}",20,0,-100.37530273140399,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
50,False,"{'a': 0.7, 'e': 0.5989560064661611}",25,0,-173.57721342009057,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
51,False,"{'a': 0.7, 'e': 0.5929664464014994}",20,0,-34.10039651461176,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
52,False,"{'a': 0.7, 'e': 0.5870367819374844}",25,0,-29.362391059850403,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
53,False,"{'a': 0.7, 'e': 0.5811664141181095}",30,3,-127.99850912165427,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 2}",1
54,False,"{'a': 0.7, 'e': 0.5753547499769285}",30,0,-147.18540260187302,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
55,False,"{'a': 0.7, 'e': 0.5696012024771592}",20,0,-31.093203618223566,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
56,False,"{'a': 0.7, 'e': 0.5639051904523876}",30,13,-8.33903612076936,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
57,False,"{'a': 0.7, 'e': 0.5582661385478638}",20,0,-77.90333580922733,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
58,False,"{'a': 0.7, 'e': 0.5526834771623851}",20,0,-66.06721327401735,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
59,False,"{'a': 0.7, 'e': 0.5471566423907612}",25,0,-66.39279828704957,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
60,False,"{'a': 0.7, 'e': 0.5416850759668536}",20,0,-85.97262408362312,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
61,False,"{'a': 0.7, 'e': 0.536268225207185}",20,2,6.727807956332212,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.7, 'e': 0.5309055429551132}",25,0,-96.51916921192836,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
63,False,"{'a': 0.7, 'e': 0.525596487525562}",30,13,7.0390849907417525,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.7, 'e': 0.5203405226503064}",20,0,-44.88004736431109,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
65,False,"{'a': 0.7, 'e': 0.5151371174238033}",20,0,-56.47762950399197,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
66,False,"{'a': 0.7, 'e': 0.5099857462495653}",25,5,-24.857707505422,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
67,False,"{'a': 0.7, 'e': 0.5048858887870696}",20,0,-46.06721458096314,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
68,False,"{'a': 0.7, 'e': 0.4998370298991989}",25,0,-49.473361841253706,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
69,False,"{'a': 0.7, 'e': 0.49483865960020695}",30,0,-99.9724176868009,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
70,False,"{'a': 0.7, 'e': 0.4898902730042049}",25,17,-23.877074168799478,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
71,False,"{'a': 0.7, 'e': 0.48499137027416284}",25,0,-14.262668438265507,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
72,False,"{'a': 0.7, 'e': 0.4801414565714212}",20,0,-40.22905324045943,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
73,False,"{'a': 0.7, 'e': 0.475340042005707}",20,0,-147.9643988998976,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
74,False,"{'a': 0.7, 'e': 0.47058664158564995}",30,20,-64.5221492675558,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
75,False,"{'a': 0.7, 'e': 0.4658807751697934}",25,14,-34.63105273786769,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
76,False,"{'a': 0.7, 'e': 0.4612219674180955}",20,0,-55.3001435312493,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
77,False,"{'a': 0.7, 'e': 0.45660974774391455}",30,0,-29.228535550909665,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
78,False,"{'a': 0.7, 'e': 0.4520436502664754}",25,0,-145.60700870348336,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
79,False,"{'a': 0.7, 'e': 0.44752321376381066}",20,0,-60.75193113427653,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
80,False,"{'a': 0.7, 'e': 0.44304798162617254}",20,5,-67.41343475788584,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
81,False,"{'a': 0.7, 'e': 0.4386175018099108}",25,0,-24.246055864744356,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
82,False,"{'a': 0.7, 'e': 0.4342313267918117}",25,2,-60.147132815160504,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 1}",1
83,False,"{'a': 0.7, 'e': 0.4298890135238936}",25,13,-10.973387372644629,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
84,False,"{'a': 0.7, 'e': 0.42559012338865465}",20,0,-17.140004112103274,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
85,False,"{'a': 0.7, 'e': 0.4213342221547681}",30,0,-46.2303983156973,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
86,False,"{'a': 0.7, 'e': 0.41712087993322045}",25,7,-38.94275978615001,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
87,False,"{'a': 0.7, 'e': 0.41294967113388825}",25,0,28.948715971273742,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
88,False,"{'a': 0.7, 'e': 0.40882017442254937}",20,2,30.99384102032599,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.7, 'e': 0.4047319726783239}",30,16,1.533745157678802,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
90,False,"{'a': 0.7, 'e': 0.40068465295154065}",20,6,14.66366430860402,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.7, 'e': 0.39667780642202527}",25,5,-36.64869767393496,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",1
92,False,"{'a': 0.7, 'e': 0.392711028357805}",35,14,-61.74743498904087,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 1}",1
93,False,"{'a': 0.7, 'e': 0.38878391807422696}",20,7,-2.7977220637689673,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
94,False,"{'a': 0.7, 'e': 0.3848960788934847}",25,0,-49.4382679843058,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
95,False,"{'a': 0.7, 'e': 0.38104711810454983}",35,7,-2.136105037118282,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 0}",1
96,False,"{'a': 0.7, 'e': 0.37723664692350434}",30,5,-35.98902603372045,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",1
97,False,"{'a': 0.7, 'e': 0.37346428045426927}",20,6,4.143710857629345,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
98,False,"{'a': 0.7, 'e': 0.36972963764972655}",25,11,-20.714176245919013,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
99,False,"{'a': 0.7, 'e': 0.36603234127322926}",25,14,-8.242307427501226,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
100,False,"{'a': 0.7, 'e': 0.36237201786049694}",30,20,-41.86912156742285,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
101,False,"{'a': 0.7, 'e': 0.358748297681892}",25,0,-45.12040846751405,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
102,False,"{'a': 0.7, 'e': 0.35516081470507305}",25,12,5.79379725255542,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.7, 'e': 0.3516092065580223}",30,10,-2.7419631360733328,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
104,False,"{'a': 0.7, 'e': 0.34809311449244207}",35,6,-52.70713795252368,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 1}",1
105,False,"{'a': 0.7, 'e': 0.34461218334751764}",30,20,17.78400441581368,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.7, 'e': 0.34116606151404244}",25,16,5.0429472127917,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.7, 'e': 0.337754400898902}",30,18,10.235380165024313,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.7, 'e': 0.334376856889913}",20,13,1.934777644169369,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.7, 'e': 0.33103308832101386}",35,14,-15.692726451894119,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.7, 'e': 0.3277227574378037}",30,7,-132.43469948097672,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 3}",1
111,False,"{'a': 0.7, 'e': 0.3244455298634257}",20,0,-86.9942585063162,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
112,False,"{'a': 0.7, 'e': 0.3212010745647914}",25,15,-7.870023420084736,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.7, 'e': 0.3179890638191435}",25,16,1.9128634257749955,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.7, 'e': 0.31480917318095203}",20,2,20.258011483577405,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.7, 'e': 0.3116610814491425}",30,0,-40.53803283164966,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
116,False,"{'a': 0.7, 'e': 0.30854447063465107}",20,0,-16.255893589418065,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
117,False,"{'a': 0.7, 'e': 0.30545902592830454}",20,9,-6.0490410561373285,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.7, 'e': 0.3024044356690215}",20,0,3.888827608501974,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
119,False,"{'a': 0.7, 'e': 0.29938039131233124}",35,0,-101.27874866138265,"{0: 30, 1: 1, 2: 1, 3: 0, 4: 3}",0
120,False,"{'a': 0.7, 'e': 0.2963865873992079}",25,0,-12.303110366741045,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
121,False,"{'a': 0.7, 'e': 0.29342272152521587}",25,17,12.30553870527348,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.7, 'e': 0.2904884943099637}",25,0,-10.748481250968254,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
123,False,"{'a': 0.7, 'e': 0.28758360936686406}",30,7,-3.8594141232991444,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",1
124,False,"{'a': 0.7, 'e': 0.2847077732731954}",35,0,-19.458722340531317,"{0: 31, 1: 1, 2: 2, 3: 0, 4: 1}",0
125,False,"{'a': 0.7, 'e': 0.28186069554046345}",35,18,-43.11043827604903,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
126,False,"{'a': 0.7, 'e': 0.2790420885850588}",20,0,7.701187824529467,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.7, 'e': 0.2762516676992082}",25,8,16.04063963183995,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.7, 'e': 0.27348915102221616}",25,0,-31.727025902590178,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
129,False,"{'a': 0.7, 'e': 0.270754259511994}",20,0,-4.128299710287923,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
130,False,"{'a': 0.7, 'e': 0.26804671691687404}",20,0,18.348133991682072,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
131,False,"{'a': 0.7, 'e': 0.2653662497477053}",25,16,8.611392881181743,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.7, 'e': 0.2627125872502282}",25,0,-10.925678579848618,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
133,False,"{'a': 0.7, 'e': 0.2600854613777259}",25,2,-64.63418255254008,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 1}",1
134,False,"{'a': 0.7, 'e': 0.2574846067639487}",20,0,-28.925251733982826,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
135,False,"{'a': 0.7, 'e': 0.2549097606963092}",30,22,11.173740798580873,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.7, 'e': 0.2523606630893461}",20,10,-35.69612475705667,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
137,False,"{'a': 0.7, 'e': 0.24983705645845267}",20,0,5.185552711030484,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
138,False,"{'a': 0.7, 'e': 0.24733868589386815}",25,17,2.5620242328893044,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.7, 'e': 0.24486529903492946}",25,16,-0.04527482299974306,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.7, 'e': 0.24241664604458016}",20,0,-23.71646979835757,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
141,False,"{'a': 0.7, 'e': 0.23999247958413436}",30,13,12.870942822083013,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
142,False,"{'a': 0.7, 'e': 0.23759255478829303}",25,12,19.889967558305017,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.7, 'e': 0.2352166292404101}",20,8,-15.432392607754748,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
144,False,"{'a': 0.7, 'e': 0.232864462948006}",25,11,23.803240045782857,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.7, 'e': 0.23053581831852593}",20,6,18.83138302028488,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.7, 'e': 0.22823046013534068}",30,14,21.265557830636176,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.7, 'e': 0.22594815553398728}",30,5,32.652291488850686,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.7, 'e': 0.22368867397864742}",30,9,-3.3875371146640028,"{0: 17, 1: 3, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.7, 'e': 0.22145178723886094}",30,0,-61.357696038417515,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
150,False,"{'a': 0.7, 'e': 0.21923726936647234}",25,8,7.356636413549697,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
151,False,"{'a': 0.7, 'e': 0.2170448966728076}",25,18,-2.1842432488764234,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.7, 'e': 0.21487444770607952}",20,14,0.9262473760500047,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.7, 'e': 0.21272570322901874}",30,0,-3.1139239800033587,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
154,False,"{'a': 0.7, 'e': 0.21059844619672854}",25,0,20.736024527853008,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
155,False,"{'a': 0.7, 'e': 0.20849246173476127}",25,7,29.147717494411292,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.7, 'e': 0.20640753711741366}",20,0,-24.411240959182546,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
157,False,"{'a': 0.7, 'e': 0.20434346174623952}",25,5,-8.422601427331417,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
158,False,"{'a': 0.7, 'e': 0.20230002712877712}",25,14,-25.581520107300097,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
159,False,"{'a': 0.7, 'e': 0.20027702685748935}",25,0,-4.38501873984554,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
160,False,"{'a': 0.7, 'e': 0.19827425658891445}",25,11,23.665865407038293,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.7, 'e': 0.1962915140230253}",25,7,8.766934408424884,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
