trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-127.61406576316176,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-182.20429242354678,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-94.96775656317041,"{0: 16, 1: 5, 2: 1, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-0.9682871638871231,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-144.18407079858065,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-75.28465689013366,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-46.20991432697195,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-39.847696695269114,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-128.818371189701,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,2,-48.370433740370814,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,11,-44.84887307843937,"{0: 9, 1: 2, 2: 1, 3: 2, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-105.88494229828213,"{0: 19, 1: 2, 2: 0, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-36.81303061714049,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-156.3091519285975,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,10,-26.530543779415073,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-2.5420583214838697,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-39.66548062198653,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-19.258384201428452,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-158.37768327256745,"{0: 13, 1: 2, 2: 0, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,7.612158375649623,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",25,0,3.6006630310454626,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",25,15,-25.330585859098182,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",20,0,-3.2875297926516085,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",20,0,-16.277169757648778,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",25,0,-38.04793940398676,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",20,0,-13.139114436108917,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",25,20,8.637217379306255,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",25,14,-12.17910452030504,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",30,0,6.710348048766082,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",20,0,-22.19452956858791,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
