trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-272.99185055013913,"{0: 13, 1: 5, 2: 6, 3: 2, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-180.211284869022,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.18130818428253,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.76821980555931,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.49356813203761,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,6,-132.9712550205767,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 3}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.63383765393664,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-235.12562318059904,"{0: 12, 1: 1, 2: 6, 3: 3, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.650375551479414,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.268040755585986,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.59493965466993,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-215.3275551462484,"{0: 18, 1: 2, 2: 4, 3: 3, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.43158487473377,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.74418323957096,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.95861729308724,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.24098065513203,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-195.91489386649158,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-187.70290910631425,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.54442787535758,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.26216682863028,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-143.56835268147972,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-121.09513899794456,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-147.92757554270048,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-128.1642720811211,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-49.4830859303448,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-113.17484203258249,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-104.7789768132455,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-172.87578667576742,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-95.11951129107496,"{0: 15, 1: 3, 2: 4, 3: 3, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.0396192573234,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
